Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-01,14.949,15.023,14.627,14.913,3096000,0.0,0.0
2017-12-04,14.968,15.529,14.913,15.226,3559600,0.0,0.0
2017-12-05,15.272,15.327,14.977,15.097,2584700,0.0,0.0
2017-12-06,15.097,15.207,14.949,15.088,3525400,0.0,0.0
2017-12-07,15.078,15.088,14.959,15.06,2694200,0.0,0.0
2017-12-08,15.115,15.244,15.06,15.235,2012200,0.0,0.0
2017-12-11,15.244,15.419,15.189,15.272,3382000,0.0,0.0
2017-12-12,15.29,15.299,14.857,14.931,2410100,0.0,0.0
2017-12-13,14.977,15.032,14.885,14.986,3083000,0.0,0.0
2017-12-14,14.986,15.106,14.839,14.931,3204200,0.0,0.0
2017-12-15,14.94,14.959,14.729,14.747,5256300,0.0,0.0
2017-12-18,14.83,15.069,14.793,15.032,3059600,0.0,0.0
2017-12-19,15.088,15.152,14.894,14.977,3640500,0.0,0.0
2017-12-20,15.042,15.115,14.931,14.949,2599400,0.0,0.0
2017-12-21,14.977,15.189,14.885,15.042,2069500,0.0,0.0
2017-12-22,15.023,15.143,15.014,15.115,2790100,0.0,0.0
2017-12-26,15.115,15.17,15.005,15.014,669400,0.0,0.0
2017-12-27,15.042,15.078,14.922,14.959,1312600,0.0,0.0
2017-12-28,14.986,15.042,14.885,15.032,1133500,0.0,0.0
2017-12-29,15.042,15.078,14.922,14.922,1380400,0.0,0.0
2018-01-02,15.005,15.143,14.94,15.124,2475000,0.0,0.0
2018-01-03,15.143,15.216,15.106,15.18,2816600,0.0,0.0
2018-01-04,15.226,15.364,15.198,15.272,2343200,0.0,0.0
2018-01-05,15.548,15.741,15.207,15.465,1798400,0.0,0.0
2018-01-08,15.465,15.511,15.345,15.493,3595500,0.0,0.0
2018-01-09,15.52,15.621,15.456,15.539,2128200,0.0,0.0
2018-01-10,15.511,15.557,15.437,15.511,2523800,0.0,0.0
2018-01-11,15.529,15.852,15.529,15.723,3338200,0.0,0.0
2018-01-12,15.75,15.815,15.631,15.787,1864900,0.0,0.0
2018-01-16,15.833,15.888,15.594,15.621,1854100,0.0,0.0
2018-01-17,15.621,15.916,15.594,15.842,1902100,0.0,0.0
2018-01-18,15.815,15.861,15.649,15.658,2863900,0.0,0.0
2018-01-19,15.723,15.907,15.621,15.852,4544100,0.0,0.0
2018-01-22,15.796,15.824,15.631,15.815,1733000,0.0,0.0
2018-01-23,15.75,15.76,15.603,15.714,1519800,0.0,0.0
2018-01-24,15.76,15.824,15.631,15.732,1711800,0.0,0.0
2018-01-25,15.75,15.787,15.631,15.686,1250100,0.0,0.0
2018-01-26,15.75,15.796,15.575,15.778,1314700,0.0,0.0
2018-01-29,15.741,15.87,15.658,15.704,1280900,0.0,0.0
