Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-05-01,155.14,156.025,151.216,152.853,1152500,0.0,0.0
2017-05-02,152.691,155.199,152.079,152.883,1035000,0.0,0.0
2017-05-03,153.48,153.82,150.176,151.599,997500,0.0,0.0
2017-05-04,151.319,153.48,148.974,153.148,1232400,0.0,0.0
2017-05-05,153.266,154.897,152.167,153.606,858200,0.0,0.0
2017-05-08,153.827,153.989,152.654,153.753,1009100,0.0,0.0
2017-05-09,153.384,153.643,152.514,153.473,803400,0.0,0.0
2017-05-10,153.333,156.136,153.237,154.1,683600,0.0,0.0
2017-05-11,153.473,154.38,152.824,153.768,912900,0.0,0.0
2017-05-12,153.547,154.424,152.964,153.893,766100,0.0,0.0
2017-05-15,153.694,154.941,153.65,154.697,834100,0.0,0.0
2017-05-16,154.66,154.919,152.794,153.525,999200,0.0,0.0
2017-05-17,152.957,157.98,152.957,157.072,1665300,0.0,0.0
2017-05-18,157.382,159.44,156.652,159.411,1651900,0.0,0.0
2017-05-19,159.057,159.462,157.699,158.201,2114300,0.0,0.0
2017-05-22,158.378,159.861,157.817,159.027,938100,0.0,0.0
2017-05-23,159.189,160.679,158.666,160.207,839900,0.0,0.0
2017-05-24,160.06,161.528,159.765,160.48,773600,0.0,0.0
2017-05-25,160.62,161.041,159.543,160.126,1018500,0.0,0.0
2017-05-26,160.672,160.783,159.263,159.61,976200,0.0,0.0
2017-05-30,159.647,159.927,157.847,158.105,711400,0.0,0.0
2017-05-31,158.26,159.167,157.98,158.843,2060000,0.0,0.0
2017-06-01,158.739,158.806,155.118,156.571,1251100,0.0,0.0
2017-06-02,157.109,158.083,156.696,157.788,1063800,0.0,0.0
2017-06-05,157.633,157.714,155.524,155.892,918900,0.0,0.0
2017-06-06,155.892,155.892,153.163,153.348,1355000,0.0,0.0
2017-06-07,153.311,154.801,153.193,154.801,1303200,0.0,0.0
2017-06-08,154.801,156.165,152.492,155.568,1858400,0.0,0.0
2017-06-09,154.601,155.553,152.647,153.097,1276000,0.0,0.0
2017-06-12,153.097,155.175,152.821,154.199,1489800,2.0,0.0
2017-06-13,154.065,155.234,153.596,155.212,1431700,0.0,0.0
2017-06-14,154.951,157.104,154.579,156.314,1104400,0.0,0.0
2017-06-15,155.972,158.452,155.659,158.4,855100,0.0,0.0
2017-06-16,158.638,159.465,157.394,159.129,943800,0.0,0.0
2017-06-19,159.539,159.539,156.97,157.729,726600,0.0,0.0
2017-06-20,157.551,157.893,154.251,157.707,937300,0.0,0.0
2017-06-21,157.983,158.943,157.513,158.117,585900,0.0,0.0
2017-06-22,157.752,158.005,156.307,157.282,631900,0.0,0.0
2017-06-23,157.32,160.098,157.32,158.72,703800,0.0,0.0
2017-06-26,159.539,160.589,157.878,158.258,573900,0.0,0.0
2017-06-27,157.886,158.578,156.106,156.605,777300,0.0,0.0
2017-06-28,156.985,157.491,155.927,155.987,627400,0.0,0.0
2017-06-29,155.383,155.934,154.095,154.594,669700,0.0,0.0
2017-06-30,155.443,156.404,154.564,155.309,620900,0.0,0.0
2017-07-03,156.351,159.04,155.234,158.437,562900,0.0,0.0
2017-07-05,158.064,158.087,154.921,154.959,756100,0.0,0.0
2017-07-06,154.177,154.877,151.853,152.948,1028900,0.0,0.0
2017-07-07,153.238,154.691,152.821,154.192,509600,0.0,0.0
2017-07-10,154.192,154.311,151.302,151.466,700100,0.0,0.0
2017-07-11,151.913,152.255,150.825,151.384,669000,0.0,0.0
2017-07-12,152.374,154.065,151.913,153.73,648400,0.0,0.0
2017-07-13,153.722,154.534,152.479,152.546,740600,0.0,0.0
2017-07-14,153.559,155.257,153.529,154.676,566200,0.0,0.0
2017-07-17,154.735,156.21,154.139,154.609,660500,0.0,0.0
2017-07-18,154.408,155.741,152.94,154.326,917900,0.0,0.0
2017-07-19,154.512,155.234,154.214,154.743,887500,0.0,0.0
2017-07-20,154.646,155.495,153.559,154.564,703600,0.0,0.0
2017-07-21,154.378,155.771,154.318,155.614,439500,0.0,0.0
